1	2 	3	4
128	10025	10202	1
180	10025	10202	1
181	10025	10202	0
129	10025	10203	1
130	10025	10203	1
182	10025	10203	1
183	10025	10203	0
131	10025	10204	1
184	10025	10204	0
132	10025	10205	1
133	10025	10205	1
185	10025	10205	1
186	10025	10205	0
134	10025	10211	1
135	10025	10211	1
187	10025	10211	1
188	10025	10211	0
136	10025	10213	1
137	10025	10213	1
189	10025	10213	1
190	10025	10213	0
138	10025	10294	1
139	10025	10294	1
191	10025	10294	1
192	10025	10294	0
140	10025	10312	1
193	10025	10312	0
141	10025	10313	1
194	10025	10313	0
142	10025	10314	1
195	10025	10314	0
143	10025	10315	1
196	10025	10315	0
144	10025	10316	1
197	10025	10316	0
145	10025	10317	1
198	10025	10317	0
146	10025	10330	1
199	10025	10330	0
147	10025	10331	1
200	10025	10331	0
148	10025	10332	1
201	10025	10332	0
149	10025	10336	1
202	10025	10336	0
150	10025	10337	1
203	10025	10337	0
151	10025	10338	1
204	10025	10338	0
152	10025	10339	1
153	10025	10339	1
205	10025	10339	1
206	10025	10339	0
154	10025	10340	1
207	10025	10340	0
155	10025	10342	1
208	10025	10342	0
156	10025	10343	1
209	10025	10343	0
157	10025	10344	1
210	10025	10344	0
158	10025	10345	1
211	10025	10345	0
159	10025	10398	1
212	10025	10398	0
213	10053	10022	1
214	10053	10022	0
215	10053	10025	1
216	10053	10025	0
217	10053	10054	0
218	10053	10055	1
219	10053	10055	0
220	10053	10056	0
221	10053	10057	0
222	10053	10058	1
223	10053	10058	0
224	10053	10059	0
225	10053	10060	0
226	10053	10061	0
227	10053	10196	0
228	10053	10197	0
229	10053	10198	0
230	10053	10199	0
231	10053	10200	1
232	10053	10200	0
233	10053	10201	0
234	10053	10202	1
235	10053	10202	0
236	10053	10203	1
237	10053	10203	0
238	10053	10204	0
239	10053	10205	1
240	10053	10205	0
241	10053	10211	1
242	10053	10211	0
243	10053	10213	1
244	10053	10213	0
245	10053	10294	1
246	10053	10294	0
247	10053	10312	0
248	10053	10313	0
249	10053	10314	0
250	10053	10315	0
