0,1,2
442,10055,10206
443,10056,10022
444,10056,10022
445,10056,10025
446,10056,10025
447,10056,10053
448,10056,10054
449,10056,10055
450,10056,10055
451,10056,10057
452,10056,10058
453,10056,10058
454,10056,10059
455,10056,10060
456,10056,10061
457,10056,10196
458,10056,10197
459,10056,10198
460,10056,10199
461,10056,10200
462,10056,10200
463,10056,10201
464,10056,10202
465,10056,10202
466,10056,10203
467,10056,10203
468,10056,10204
469,10056,10205
470,10056,10205
471,10056,10211
472,10056,10211
473,10056,10213
474,10056,10213
475,10056,10294
476,10056,10294
477,10056,10312
478,10056,10313
479,10056,10314
480,10056,10315
481,10056,10316
482,10056,10317
483,10056,10330
484,10056,10331
485,10056,10332
486,10056,10336
487,10056,10337
488,10056,10338
489,10056,10339
490,10056,10339
491,10056,10340
492,10056,10342
493,10056,10343
494,10056,10344
495,10056,10345
496,10056,10398
497,10056,10207
498,10056,10206
499,10057,10022
500,10057,10022
501,10057,10025
502,10057,10025
503,10057,10053
504,10057,10054
505,10057,10055
506,10057,10055
507,10057,10056
508,10057,10058
509,10057,10058
510,10057,10059
511,10057,10060
512,10057,10061
513,10057,10196
514,10057,10197
515,10057,10198
516,10057,10199
517,10057,10200
518,10057,10200
519,10057,10201
520,10057,10202
521,10057,10202
522,10057,10203
523,10057,10203
524,10057,10204
525,10057,10205
526,10057,10205
527,10057,10211
528,10057,10211
529,10057,10213
530,10057,10213
531,10057,10294
532,10057,10294
533,10057,10312
534,10057,10313
535,10057,10314
536,10057,10315
537,10057,10316
538,10057,10317
539,10057,10330
540,10057,10331
541,10057,10332
542,10057,10336
543,10057,10337
544,10057,10338
545,10057,10339
546,10057,10339
547,10057,10340
548,10057,10342
549,10057,10343
550,10057,10344
551,10057,10345
552,10057,10398
553,10057,10207
554,10057,10206
555,10058,10022
556,10058,10022
557,10058,10025
558,10058,10025
559,10058,10053
560,10058,10054
561,10058,10055
562,10058,10055
563,10058,10056
564,10058,10057
565,10058,10059
566,10058,10060
567,10058,10061
568,10058,10196
569,10058,10197
570,10058,10198
571,10058,10199
572,10058,10200
573,10058,10200
574,10058,10201
575,10058,10202
576,10058,10202
577,10058,10203
578,10058,10203
579,10058,10204
580,10058,10205
581,10058,10205
582,10058,10211
583,10058,10211
584,10058,10213
585,10058,10213
586,10058,10294
587,10058,10294
588,10058,10312
589,10058,10313
590,10058,10314
591,10058,10315
592,10058,10316
593,10058,10317
594,10058,10330
595,10058,10331
596,10058,10332
597,10058,10336
598,10058,10337
599,10058,10338
600,10058,10339
601,10058,10339
602,10058,10340
603,10058,10342
604,10058,10343
605,10058,10344
606,10058,10345
607,10058,10398
608,10058,10207
609,10058,10206
610,10058,10022
611,10058,10022
612,10058,10025
613,10058,10025
614,10058,10053
615,10058,10054
616,10058,10055
617,10058,10055
618,10058,10056
619,10058,10057
620,10058,10059
621,10058,10060
622,10058,10061
623,10058,10196
624,10058,10197
625,10058,10198
626,10058,10199
627,10058,10200
628,10058,10200
629,10058,10201
630,10058,10202
631,10058,10202
632,10058,10203
633,10058,10203
634,10058,10204
635,10058,10205
636,10058,10205
637,10058,10211
638,10058,10211
639,10058,10213
640,10058,10213
641,10058,10294
642,10058,10294
643,10058,10312
644,10058,10313
645,10058,10314
646,10058,10315
647,10058,10316
648,10058,10317
649,10058,10330
650,10058,10331
651,10058,10332
652,10058,10336
653,10058,10337
654,10058,10338
655,10058,10339
656,10058,10339
657,10058,10340
658,10058,10342
659,10058,10343
660,10058,10344
661,10058,10345
662,10058,10398
663,10058,10207
664,10058,10206
665,10059,10022
666,10059,10022
667,10059,10025
668,10059,10025
669,10059,10053
670,10059,10054
671,10059,10055
672,10059,10055
673,10059,10056
674,10059,10057
675,10059,10058
676,10059,10058
677,10059,10060
678,10059,10061
679,10059,10196
680,10059,10197
681,10059,10198
682,10059,10199
683,10059,10200
684,10059,10200
685,10059,10201
686,10059,10202
687,10059,10202
688,10059,10203
689,10059,10203
690,10059,10204
691,10059,10205
692,10059,10205
693,10059,10211
694,10059,10211
695,10059,10213
696,10059,10213
697,10059,10294
698,10059,10294
699,10059,10312
700,10059,10313
701,10059,10314
702,10059,10315
703,10059,10316
704,10059,10317
705,10059,10330
706,10059,10331
707,10059,10332
708,10059,10336
709,10059,10337
710,10059,10338
711,10059,10339
712,10059,10339
713,10059,10340
714,10059,10342
715,10059,10343
716,10059,10344
717,10059,10345
718,10059,10398
719,10059,10207
720,10059,10206
721,10060,10022
722,10060,10022
723,10060,10025
724,10060,10025
725,10060,10053
726,10060,10054
727,10060,10055
728,10060,10055
729,10060,10056
730,10060,10057
731,10060,10058
732,10060,10058
733,10060,10059
734,10060,10061
735,10060,10196
736,10060,10197
737,10060,10198
738,10060,10199
739,10060,10200
740,10060,10200
741,10060,10201
742,10060,10202
743,10060,10202
744,10060,10203
745,10060,10203
746,10060,10204
747,10060,10205
748,10060,10205
749,10060,10211
750,10060,10211
751,10060,10213
752,10060,10213
753,10060,10294
754,10060,10294
755,10060,10312
756,10060,10313
757,10060,10314
758,10060,10315
759,10060,10316
760,10060,10317
761,10060,10330
762,10060,10331
763,10060,10332
